batch_idx,acc_running,cumulative_regret,n_reeval,n_recovered,n_sdft,kl_loss,mem_size,gen_s,reeval_s,train_s
0,0.3000,7.0000,0,0,3,0.021468,3,11.2,0.0,12.5
1,0.4500,11.0000,10,0,9,0.006101,9,8.7,8.3,47.0
2,0.4667,16.0000,20,0,14,0.002280,14,8.3,16.9,76.2
3,0.4750,21.0000,30,1,20,0.001026,20,8.8,25.6,106.3
4,0.5000,25.0000,40,3,29,0.003970,29,10.0,33.0,154.0
5,0.5167,29.0000,50,0,35,0.003663,35,9.6,44.1,188.6
6,0.5143,34.0000,60,0,40,0.000821,40,8.8,51.7,216.9
7,0.5125,39.0000,70,0,45,0.000802,45,9.3,61.0,243.6
8,0.4889,46.0000,80,0,48,0.001247,48,10.1,69.8,268.9
9,0.5000,50.0000,90,0,54,0.002700,54,8.5,79.6,305.8
10,0.5273,52.0000,90,0,58,0.001451,62,9.6,78.8,324.1
11,0.5417,55.0000,90,0,59,0.000744,69,8.6,78.7,324.4
12,0.5615,57.0000,90,1,60,0.000597,78,8.1,79.7,338.5
13,0.5786,59.0000,90,1,64,0.000363,87,8.0,78.9,364.0
14,0.5733,64.0000,90,0,63,0.000528,92,10.3,76.6,356.3
15,0.5687,69.0000,90,1,63,0.004367,98,9.0,79.3,353.4
16,0.5765,72.0000,90,0,65,0.001302,105,9.7,79.8,357.2
17,0.5833,75.0000,90,0,67,0.000992,112,8.7,78.9,378.4
18,0.5737,81.0000,90,0,68,0.000962,116,8.8,79.8,380.8
19,0.5750,85.0000,90,0,68,0.000801,122,11.3,78.2,383.6
20,0.5762,89.0000,90,0,66,0.001354,128,9.2,81.1,365.7
21,0.5727,94.0000,90,0,62,0.000649,133,9.8,79.0,341.9
22,0.5696,99.0000,90,1,59,0.000783,139,9.4,81.6,323.1
23,0.5750,102.0000,90,1,59,0.000546,147,8.5,82.8,327.2
24,0.5720,107.0000,90,1,60,0.000756,153,10.5,82.3,344.3
25,0.5692,112.0000,90,0,60,0.000375,158,10.4,82.8,346.3
26,0.5815,113.0000,90,0,61,0.000736,167,9.7,82.9,341.2
27,0.5857,116.0000,90,0,61,0.000438,174,9.1,84.2,344.9
28,0.5793,122.0000,90,0,60,0.000317,178,9.9,82.7,348.2
29,0.5833,125.0000,90,0,61,0.000284,185,9.5,83.1,345.0
30,0.5806,130.0000,90,0,60,0.000423,190,8.8,81.8,346.5
31,0.5875,132.0000,90,0,63,0.000404,198,9.7,81.5,350.0
32,0.5939,134.0000,90,0,66,0.000677,206,9.3,82.3,380.0
33,0.5971,137.0000,90,0,65,0.000917,213,8.8,82.3,363.1
34,0.6029,139.0000,90,1,69,0.001154,222,8.0,82.4,382.9
35,0.6111,140.0000,90,0,72,0.000313,231,9.7,78.3,404.2
36,0.6108,144.0000,90,0,69,0.000220,237,9.2,80.2,386.2
37,0.6026,151.0000,90,0,65,0.000360,240,10.0,79.3,361.3
38,0.6026,155.0000,90,0,67,0.000236,246,10.1,79.9,372.2
39,0.6025,159.0000,90,0,66,0.000210,252,8.5,78.8,361.3
40,0.6073,161.0000,90,0,69,0.000657,260,8.7,78.5,377.2
41,0.6095,164.0000,90,2,70,0.000853,269,9.3,77.5,391.6
42,0.6140,166.0000,90,1,71,0.000692,278,10.1,77.6,391.6
43,0.6182,168.0000,90,0,72,0.000676,286,9.6,78.6,406.0
44,0.6222,170.0000,90,0,72,0.000245,294,8.9,80.6,407.6
45,0.6261,172.0000,90,0,71,0.000405,302,8.2,79.7,397.7
46,0.6170,180.0000,90,0,67,0.000199,304,8.2,78.5,371.9
47,0.6188,183.0000,90,1,70,0.000314,312,9.3,77.5,390.9
48,0.6163,188.0000,90,0,69,0.000169,317,8.2,76.5,383.2
49,0.6120,194.0000,90,0,67,0.000317,321,9.5,76.5,367.9
50,0.6137,197.0000,90,0,66,0.000637,328,9.1,77.2,368.8
51,0.6135,201.0000,90,0,63,0.000730,334,10.2,77.1,346.3
52,0.6189,202.0000,90,0,64,0.000882,343,10.7,75.9,344.9
53,0.6185,206.0000,90,0,62,0.000434,349,9.0,75.0,342.5
54,0.6218,208.0000,90,0,62,0.000483,357,8.9,77.0,338.5
55,0.6214,212.0000,90,0,60,0.000131,363,9.9,76.9,330.8
56,0.6211,216.0000,90,0,64,0.000150,369,8.6,78.4,348.7
57,0.6190,221.0000,90,1,63,0.000900,375,10.0,77.7,347.8
58,0.6203,224.0000,90,1,66,0.000585,383,9.3,80.2,370.1
59,0.6200,228.0000,90,0,67,0.000323,389,9.1,79.3,363.5
60,0.6230,230.0000,90,0,68,0.000128,397,8.0,79.9,377.5
