step,pred_api,gold_api,n_icl,parse_ok,strict_correct,cumulative_regret,mem_size
0,Car database%%Models,Car database%%Makes,0,1,0,1.0000,0
1,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,0,1,1,1.0000,1
2,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,1,0,2.0000,1
3,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,1,1,2.0000,2
4,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,2,1,0,3.0000,2
5,siteDomain%%language list,siteDomain%%language list,2,1,1,3.0000,3
6,BART%%Advisory information,BART%%Advisory information,3,1,0,4.0000,3
7,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,5.0000,3
8,search,search,3,1,0,6.0000,3
9,siteDomain%%language list,search_general,3,1,0,7.0000,3
10,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,7.0000,4
11,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,0,8.0000,4
12,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,9.0000,4
13,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,1,9.0000,5
14,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,1,9.0000,6
15,forecast_weather,Weather_dataSet%%Weather_dataSet,3,1,0,10.0000,6
16,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,1,10.0000,7
17,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,10.0000,8
18,getWolframAlphaResults,getWolframAlphaResults,3,1,0,11.0000,8
19,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,1,11.0000,9
20,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,11.0000,10
21,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,0,12.0000,10
22,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,12.0000,11
23,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,1,12.0000,12
24,forecast_weather,forecast_weather,3,1,1,12.0000,13
25,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,13.0000,13
26,English Talking%%Get an answer,English Talking%%Get an answer,3,1,1,13.0000,14
27,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,14.0000,14
28,siteDomain%%language list,search_places,3,1,0,15.0000,14
29,Token API%%generate,Token API%%generate,3,1,1,15.0000,15
30,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,15.0000,16
31,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,16.0000,16
32,siteDomain%%language list,Places%%Geographic coordinates by placename,3,1,0,17.0000,16
33,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,18.0000,16
