step,pred_api,gold_api,correct,cumulative_regret
0,Car database%%Models,Car database%%Makes,0,1.0000
1,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1.0000
2,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,2.0000
3,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,2.0000
4,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,3.0000
5,siteDomain%%language list,siteDomain%%language list,1,3.0000
6,BART%%Advisory information,BART%%Advisory information,0,4.0000
7,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,5.0000
8,search,search,0,6.0000
9,search,search_general,0,7.0000
10,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,7.0000
11,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,0,8.0000
12,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,9.0000
13,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,9.0000
14,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,9.0000
15,forecast_weather,Weather_dataSet%%Weather_dataSet,0,10.0000
16,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,10.0000
17,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,10.0000
18,search,getWolframAlphaResults,0,11.0000
19,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,11.0000
20,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,11.0000
21,NumbersTranslator,Numbers Translator%%Numbers Translator,0,12.0000
22,JAK_API%%Ben 10,JAK_API%%Ben 10,1,12.0000
23,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,12.0000
24,forecast_weather,forecast_weather,1,12.0000
25,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,13.0000
26,search,English Talking%%Get an answer,0,14.0000
27,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,14.0000
28,search,search_places,0,15.0000
29,Token API%%generate,Token API%%generate,1,15.0000
30,JAK_API%%Ben 10,JAK_API%%Ben 10,1,15.0000
31,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,0,16.0000
32,search,Places%%Geographic coordinates by placename,0,17.0000
33,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,18.0000
34,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,0,19.0000
35,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,19.0000
36,get_weather_today,get_weather_today,1,19.0000
37,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%All Characters,0,20.0000
38,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,20.0000
39,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,20.0000
40,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,0,21.0000
41,thailand%%thai4,thailand%%thai4,1,21.0000
42,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,22.0000
43,siteDomain%%industry list,siteDomain%%industry list,1,22.0000
44,search_places,search_places,1,22.0000
45,thailand%%thai4,thailand%%thai4,1,22.0000
46,thailand%%thai4,thailand%%thai4,1,22.0000
47,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,22.0000
48,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,0,23.0000
49,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,23.0000
50,Grup Terbuka%%Kirim Pesan,colegiosantaana%%Mensajes-1,0,24.0000
51,add_date,add_date,1,24.0000
52,get_today_date,get_today_date,1,24.0000
53,Global Email V4,Global Email V4%%Global Email V4,0,25.0000
54,siteDomain%%industry list,siteDomain%%industry list,1,25.0000
55,BART%%Advisory information,BART%%Advisory information,0,26.0000
56,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,26.0000
57,getWolframAlphaResults,getWolframAlphaResults,0,27.0000
58,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,27.0000
59,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,0,28.0000
60,siteDomain%%language list,siteDomain%%language list,1,28.0000
61,get_weather_today,Weather_dataSet%%Weather_dataSet,0,29.0000
62,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,29.0000
63,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,29.0000
64,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,30.0000
65,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,30.0000
66,search,disambiguation,0,31.0000
67,Password Generator API%%Password of length 50,Password Generator API%%Base,0,32.0000
68,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,32.0000
69,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,33.0000
70,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,33.0000
71,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,33.0000
72,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,0,34.0000
