step,pred,label,correct,cumulative_regret
0,7,7,1,0.0000
1,35,9,0,1.0000
2,19,19,1,1.0000
3,49,12,0,2.0000
4,45,24,0,3.0000
5,49,29,0,4.0000
6,19,19,1,4.0000
7,49,44,0,5.0000
8,28,22,0,6.0000
9,27,27,1,6.0000
10,2,47,0,7.0000
11,49,44,0,8.0000
12,19,19,1,8.0000
13,34,42,0,9.0000
14,27,47,0,10.0000
15,35,46,0,11.0000
16,45,12,0,12.0000
17,41,41,1,12.0000
18,49,36,0,13.0000
19,26,26,1,13.0000
20,14,26,0,14.0000
21,35,35,1,14.0000
22,40,40,1,14.0000
23,49,34,0,15.0000
24,0,13,0,16.0000
25,0,15,0,17.0000
26,32,30,0,18.0000
27,27,2,0,19.0000
28,1,1,1,19.0000
29,48,18,0,20.0000
30,49,41,0,21.0000
31,6,6,1,21.0000
32,24,15,0,22.0000
33,40,40,1,22.0000
34,49,15,0,23.0000
35,35,35,1,23.0000
36,3,3,1,23.0000
37,5,5,1,23.0000
38,0,11,0,24.0000
39,32,32,1,24.0000
40,5,16,0,25.0000
41,49,15,0,26.0000
42,35,35,1,26.0000
43,45,24,0,27.0000
44,19,19,1,27.0000
45,35,46,0,28.0000
46,2,2,1,28.0000
47,19,19,1,28.0000
48,27,25,0,29.0000
49,22,22,1,29.0000
50,40,40,1,29.0000
51,27,27,1,29.0000
52,49,19,0,30.0000
53,14,26,0,31.0000
54,0,13,0,32.0000
55,37,37,1,32.0000
56,49,44,0,33.0000
57,3,3,1,33.0000
58,35,46,0,34.0000
59,21,26,0,35.0000
60,2,2,1,35.0000
61,28,28,1,35.0000
62,8,8,1,35.0000
63,0,11,0,36.0000
64,0,38,0,37.0000
65,47,45,0,38.0000
66,5,6,0,39.0000
67,5,45,0,40.0000
68,1,1,1,40.0000
69,27,25,0,41.0000
70,27,25,0,42.0000
71,6,6,1,42.0000
72,49,41,0,43.0000
73,28,22,0,44.0000
74,27,25,0,45.0000
75,8,8,1,45.0000
76,49,9,0,46.0000
77,49,9,0,47.0000
78,33,38,0,48.0000
79,35,43,0,49.0000
80,35,46,0,50.0000
81,5,45,0,51.0000
82,47,24,0,52.0000
83,17,17,1,52.0000
84,6,38,0,53.0000
85,6,6,1,53.0000
86,3,3,1,53.0000
87,47,45,0,54.0000
88,0,31,0,55.0000
89,35,43,0,56.0000
90,49,15,0,57.0000
91,49,10,0,58.0000
92,35,43,0,59.0000
93,49,4,0,60.0000
94,49,9,0,61.0000
95,35,43,0,62.0000
96,0,37,0,63.0000
97,49,29,0,64.0000
98,7,7,1,64.0000
99,8,8,1,64.0000
100,18,18,1,64.0000
101,36,36,1,64.0000
102,49,4,0,65.0000
103,14,14,1,65.0000
104,21,21,1,65.0000
105,37,37,1,65.0000
106,19,19,1,65.0000
107,40,40,1,65.0000
108,35,46,0,66.0000
109,2,2,1,66.0000
110,7,7,1,66.0000
111,5,16,0,67.0000
112,23,23,1,67.0000
113,1,39,0,68.0000
114,28,22,0,69.0000
115,32,30,0,70.0000
116,35,35,1,70.0000
117,47,45,0,71.0000
118,49,29,0,72.0000
119,14,48,0,73.0000
120,21,21,1,73.0000
121,0,13,0,74.0000
122,35,35,1,74.0000
123,0,13,0,75.0000
124,35,35,1,75.0000
125,33,33,1,75.0000
126,49,29,0,76.0000
127,27,27,1,76.0000
128,4,42,0,77.0000
129,21,21,1,77.0000
130,14,26,0,78.0000
131,49,34,0,79.0000
132,1,1,1,79.0000
133,32,32,1,79.0000
134,21,34,0,80.0000
135,47,45,0,81.0000
136,49,9,0,82.0000
137,27,27,1,82.0000
138,33,3,0,83.0000
139,17,17,1,83.0000
140,35,35,1,83.0000
141,5,5,1,83.0000
142,47,47,1,83.0000
143,49,4,0,84.0000
144,8,37,0,85.0000
145,21,39,0,86.0000
146,41,41,1,86.0000
147,7,7,1,86.0000
148,27,47,0,87.0000
149,49,42,0,88.0000
150,35,46,0,89.0000
151,8,8,1,89.0000
152,45,24,0,90.0000
153,5,16,0,91.0000
154,31,31,1,91.0000
155,4,4,1,91.0000
156,5,5,1,91.0000
157,7,40,0,92.0000
158,28,28,1,92.0000
159,35,35,1,92.0000
160,19,19,1,92.0000
161,0,0,1,92.0000
162,3,3,1,92.0000
163,14,26,0,93.0000
164,1,1,1,93.0000
165,48,18,0,94.0000
166,17,17,1,94.0000
167,35,46,0,95.0000
168,49,37,0,96.0000
169,37,42,0,97.0000
170,37,37,1,97.0000
171,47,2,0,98.0000
172,14,14,1,98.0000
173,33,33,1,98.0000
174,5,5,1,98.0000
175,33,38,0,99.0000
176,40,40,1,99.0000
177,23,23,1,99.0000
178,49,19,0,100.0000
179,49,30,0,101.0000
180,27,15,0,102.0000
181,0,0,1,102.0000
182,5,16,0,103.0000
