step,problem_id,pred,label,correct,cumulative_regret
0,0,7,7,1,0.0000
1,1,35,9,0,1.0000
2,2,19,19,1,1.0000
3,3,49,12,0,2.0000
4,4,45,24,0,3.0000
5,5,49,29,0,4.0000
6,6,19,19,1,4.0000
7,7,49,44,0,5.0000
8,8,28,22,0,6.0000
9,9,27,27,1,6.0000
10,10,2,47,0,7.0000
11,11,49,44,0,8.0000
12,12,19,19,1,8.0000
13,13,34,42,0,9.0000
14,14,27,47,0,10.0000
15,15,35,46,0,11.0000
16,16,45,12,0,12.0000
17,17,41,41,1,12.0000
18,18,49,36,0,13.0000
19,19,26,26,1,13.0000
20,20,14,26,0,14.0000
21,21,35,35,1,14.0000
22,22,40,40,1,14.0000
23,23,49,34,0,15.0000
24,24,0,13,0,16.0000
25,25,0,15,0,17.0000
26,26,32,30,0,18.0000
27,27,27,2,0,19.0000
28,28,1,1,1,19.0000
29,29,48,18,0,20.0000
30,30,49,41,0,21.0000
31,31,6,6,1,21.0000
32,32,24,15,0,22.0000
33,33,40,40,1,22.0000
34,34,49,15,0,23.0000
35,35,35,35,1,23.0000
36,36,3,3,1,23.0000
37,37,5,5,1,23.0000
38,38,0,11,0,24.0000
39,39,32,32,1,24.0000
40,40,5,16,0,25.0000
41,41,49,15,0,26.0000
42,42,35,35,1,26.0000
43,43,45,24,0,27.0000
44,44,19,19,1,27.0000
45,45,35,46,0,28.0000
46,46,2,2,1,28.0000
47,47,19,19,1,28.0000
48,48,27,25,0,29.0000
49,49,22,22,1,29.0000
50,50,40,40,1,29.0000
51,51,27,27,1,29.0000
52,52,49,19,0,30.0000
53,53,14,26,0,31.0000
54,54,0,13,0,32.0000
55,55,37,37,1,32.0000
56,56,49,44,0,33.0000
57,57,3,3,1,33.0000
58,58,35,46,0,34.0000
59,59,21,26,0,35.0000
60,60,2,2,1,35.0000
61,61,28,28,1,35.0000
62,62,8,8,1,35.0000
63,63,0,11,0,36.0000
64,64,0,38,0,37.0000
65,65,47,45,0,38.0000
66,66,5,6,0,39.0000
67,67,5,45,0,40.0000
68,68,1,1,1,40.0000
69,69,27,25,0,41.0000
70,70,27,25,0,42.0000
71,71,6,6,1,42.0000
72,72,35,41,0,43.0000
73,73,22,22,1,43.0000
74,74,27,25,0,44.0000
75,75,8,8,1,44.0000
76,76,35,9,0,45.0000
77,77,49,9,0,46.0000
78,78,33,38,0,47.0000
79,79,35,43,0,48.0000
80,80,35,46,0,49.0000
81,81,5,45,0,50.0000
82,82,47,24,0,51.0000
83,83,17,17,1,51.0000
84,84,6,38,0,52.0000
85,85,6,6,1,52.0000
86,86,3,3,1,52.0000
87,87,47,45,0,53.0000
88,88,0,31,0,54.0000
89,89,35,43,0,55.0000
90,90,47,15,0,56.0000
91,91,7,10,0,57.0000
92,92,35,43,0,58.0000
93,93,35,4,0,59.0000
94,94,9,9,1,59.0000
95,95,35,43,0,60.0000
96,96,0,37,0,61.0000
97,97,0,29,0,62.0000
98,98,7,7,1,62.0000
99,99,8,8,1,62.0000
100,100,18,18,1,62.0000
101,101,36,36,1,62.0000
102,102,35,4,0,63.0000
103,103,14,14,1,63.0000
104,104,21,21,1,63.0000
105,105,37,37,1,63.0000
106,106,19,19,1,63.0000
107,107,40,40,1,63.0000
108,108,35,46,0,64.0000
109,109,2,2,1,64.0000
110,110,7,7,1,64.0000
111,111,5,16,0,65.0000
112,112,23,23,1,65.0000
113,113,1,39,0,66.0000
114,114,22,22,1,66.0000
115,115,32,30,0,67.0000
116,116,35,35,1,67.0000
117,117,47,45,0,68.0000
118,118,4,29,0,69.0000
119,119,14,48,0,70.0000
120,120,21,21,1,70.0000
121,121,0,13,0,71.0000
122,122,35,35,1,71.0000
123,123,0,13,0,72.0000
124,124,35,35,1,72.0000
125,125,33,33,1,72.0000
126,126,27,29,0,73.0000
127,127,27,27,1,73.0000
128,128,4,42,0,74.0000
129,129,21,21,1,74.0000
130,130,14,26,0,75.0000
131,131,4,34,0,76.0000
132,132,1,1,1,76.0000
133,133,32,32,1,76.0000
134,134,21,34,0,77.0000
135,135,47,45,0,78.0000
136,136,35,9,0,79.0000
137,137,27,27,1,79.0000
138,138,3,3,1,79.0000
139,139,17,17,1,79.0000
140,140,35,35,1,79.0000
141,141,5,5,1,79.0000
142,142,27,47,0,80.0000
143,143,35,4,0,81.0000
144,144,8,37,0,82.0000
145,145,21,39,0,83.0000
146,146,41,41,1,83.0000
147,147,7,7,1,83.0000
148,148,2,47,0,84.0000
149,149,37,42,0,85.0000
150,150,35,46,0,86.0000
151,151,8,8,1,86.0000
152,152,25,24,0,87.0000
153,153,5,16,0,88.0000
154,154,31,31,1,88.0000
155,155,4,4,1,88.0000
156,156,5,5,1,88.0000
157,157,7,40,0,89.0000
158,158,28,28,1,89.0000
159,159,35,35,1,89.0000
160,160,19,19,1,89.0000
161,161,0,0,1,89.0000
162,162,3,3,1,89.0000
163,163,26,26,1,89.0000
164,164,1,1,1,89.0000
165,165,48,18,0,90.0000
166,166,17,17,1,90.0000
167,167,35,46,0,91.0000
168,168,37,37,1,91.0000
169,169,37,42,0,92.0000
170,170,37,37,1,92.0000
171,171,2,2,1,92.0000
172,172,14,14,1,92.0000
173,173,33,33,1,92.0000
174,174,5,5,1,92.0000
175,175,33,38,0,93.0000
176,176,40,40,1,93.0000
177,177,23,23,1,93.0000
178,178,19,19,1,93.0000
179,179,32,30,0,94.0000
180,180,21,15,0,95.0000
181,181,0,0,1,95.0000
182,182,5,16,0,96.0000
183,183,22,28,0,97.0000
184,184,32,30,0,98.0000
185,185,1,22,0,99.0000
186,186,22,47,0,100.0000
187,187,41,41,1,100.0000
188,188,33,33,1,100.0000
189,189,19,19,1,100.0000
190,190,0,0,1,100.0000
