batch_idx,n_new,n_train_pids,avg_reward,pg_loss,mean_kl,adv_std,ppo_clipfrac,cumulative_regret,gen_time_s,train_time_s,peak_vram_gb
0,10,10,0.4000,-0.239943,0.000000,0.4068,0.0000,6.0000,35.4,1.7,41.6
1,10,20,0.4000,-0.235917,0.000000,0.4044,0.0000,12.0000,13.2,2.7,41.9
2,10,30,0.6000,-0.237989,0.000198,0.4242,0.0000,16.0000,23.3,3.7,41.9
3,10,40,0.3000,-0.257366,0.000112,0.4060,0.0000,23.0000,23.9,5.0,41.9
4,10,50,0.1000,-0.289445,0.000113,0.3765,0.0000,32.0000,21.8,6.3,41.9
5,10,60,0.1833,-0.260032,0.000021,0.3617,0.0000,40.1667,11.0,7.4,41.9
6,10,70,0.4500,-0.223890,0.000005,0.3781,0.0008,45.6667,15.5,8.5,41.9
7,10,80,0.5500,-0.252332,0.000142,0.3840,0.0017,50.1667,18.0,9.6,41.9
8,10,90,0.3000,-0.251277,0.000316,0.3744,0.0036,57.1667,14.9,10.7,41.9
9,10,100,0.2333,-0.227613,0.000463,0.3769,0.0060,64.8333,14.4,11.9,41.9
10,10,100,0.5417,-0.234591,0.001525,0.3798,0.0074,69.4167,22.5,11.7,41.9
11,10,100,0.4667,-0.242585,0.002829,0.3789,0.0078,74.7500,55.5,11.8,41.9
12,10,100,0.4000,-0.206750,0.003153,0.3723,0.0081,80.7500,14.3,11.9,41.9
13,10,100,0.1000,-0.195311,0.003531,0.3598,0.0094,89.7500,20.9,11.6,41.9
14,10,100,0.5917,-0.144326,0.004856,0.3881,0.0128,93.8333,22.2,11.6,41.9
15,10,100,0.2833,-0.140311,0.005294,0.3988,0.0115,101.0000,27.6,11.8,41.9
16,10,100,0.2500,-0.150804,0.006602,0.3938,0.0128,108.5000,17.0,12.0,41.9
17,10,100,0.0833,-0.095180,0.006951,0.3829,0.0134,117.6667,25.0,11.9,41.9
18,10,100,0.4417,-0.103785,0.007565,0.3926,0.0143,123.2500,22.9,12.0,41.9
19,10,100,0.2667,-0.121927,0.008054,0.3911,0.0166,130.5833,13.6,12.0,41.9
20,10,100,0.4167,-0.107673,0.008668,0.3883,0.0160,136.4167,11.9,12.0,41.9
21,10,100,0.2083,-0.090269,0.009022,0.3793,0.0161,144.3333,16.7,12.2,41.9
22,10,100,0.0583,-0.103033,0.010100,0.3605,0.0153,153.7500,16.4,12.1,41.9
23,10,100,0.7333,-0.083970,0.011164,0.4059,0.0179,156.4167,18.4,12.0,41.9
24,10,100,0.3000,-0.093437,0.011575,0.3898,0.0176,163.4167,36.2,12.1,41.9
25,10,100,0.5000,-0.128129,0.013536,0.3960,0.0208,168.4167,38.9,11.9,41.9
26,10,100,0.2333,-0.139685,0.013660,0.3923,0.0204,176.0833,15.9,12.0,41.9
27,10,100,0.3500,-0.128841,0.015715,0.4031,0.0222,182.5833,22.5,11.9,41.9
28,10,100,0.4167,-0.125225,0.017849,0.4022,0.0229,188.4167,17.7,11.9,41.9
29,10,100,0.5333,-0.109981,0.019153,0.4091,0.0206,193.0833,12.0,11.9,41.9
30,10,100,0.1167,-0.098356,0.019612,0.4002,0.0216,201.9167,16.0,11.8,41.9
31,10,100,0.2167,-0.089861,0.021351,0.4014,0.0227,209.7500,13.2,11.6,41.9
32,10,100,0.3167,-0.094022,0.022810,0.4083,0.0242,216.5833,31.3,11.5,41.9
