q_id,bucket_idx,sim_min,sim_max,sim_mean,n_total_in_bucket,n_qualified,avg_base_r_all,avg_base_r_qualified,n_sampled,sampled_anchor_ids,avg_r_1shot,max_r_1shot
1899_A,0,0.3976411521434784,0.5682414770126343,0.4484941363334656,105,66,0.6023809523809524,0.8888888888888888,10,"[""abc333_c"", ""abc366_a"", ""arc192_a"", ""abc355_a"", ""arc181_b"", ""abc354_e"", ""abc347_c"", ""abc393_a"", ""abc371_a"", ""abc342_a""]",0.1000,1.0000
1899_A,1,0.34590309858322144,0.3974584639072418,0.3682939112186432,105,51,0.4719047619047619,0.8866013071895423,10,"[""abc380_f"", ""abc374_a"", ""abc395_a"", ""abc400_b"", ""abc304_b"", ""abc390_a"", ""abc308_c"", ""abc390_c"", ""abc352_a"", ""abc367_b""]",0.0000,0.0000
1899_A,2,0.31276416778564453,0.34551382064819336,0.32842302322387695,105,36,0.34444444444444444,0.8518518518518517,10,"[""abc375_e"", ""abc315_a"", ""arc194_d"", ""abc322_d"", ""3017"", ""abc323_b"", ""abc324_a"", ""3484"", ""3055"", ""abc325_a""]",0.2000,1.0000
1899_A,3,0.281681627035141,0.31242871284484863,0.2977292835712433,105,43,0.4095238095238095,0.9224806201550387,10,"[""abc335_c"", ""2848"", ""abc329_d"", ""abc375_a"", ""abc355_b"", ""abc391_b"", ""arc184_e"", ""abc338_b"", ""3631"", ""3567""]",0.1000,1.0000
1899_A,4,0.25563597679138184,0.2815853953361511,0.2678549587726593,105,42,0.37952380952380954,0.895238095238095,10,"[""abc362_b"", ""abc311_b"", ""3353"", ""abc302_f"", ""abc351_a"", ""3607"", ""2952"", ""abc368_b"", ""3469"", ""abc388_b""]",0.1000,1.0000
1899_A,5,0.23229551315307617,0.2554079294204712,0.24370339512825012,105,30,0.3047619047619048,0.9111111111111111,10,"[""arc189_c"", ""abc388_c"", ""abc392_b"", ""3195"", ""abc378_d"", ""3690"", ""abc374_b"", ""abc356_b"", ""abc332_d"", ""abc399_f""]",0.0000,0.0000
1899_A,6,0.21226952970027924,0.23213912546634674,0.22261105477809906,105,33,0.28650793650793654,0.803030303030303,10,"[""3033"", ""abc325_b"", ""2877"", ""3328"", ""3771"", ""abc379_e"", ""abc330_b"", ""abc367_g"", ""3493"", ""3759""]",0.0000,0.0000
1899_A,7,0.18520769476890564,0.2122214138507843,0.19864030182361603,105,19,0.18253968253968253,0.8245614035087719,10,"[""3495"", ""abc397_f"", ""3543"", ""2786"", ""abc386_e"", ""3593"", ""3376"", ""abc326_c"", ""3570"", ""abc310_a""]",0.0000,0.0000
1899_A,8,0.1512807160615921,0.18510526418685913,0.16912595927715302,105,20,0.21031746031746032,0.8666666666666666,10,"[""abc366_e"", ""3622"", ""3196"", ""3245"", ""abc364_d"", ""3420"", ""3356"", ""3811"", ""abc365_e"", ""abc330_a""]",0.0000,0.0000
1899_A,9,0.062519371509552,0.15083138644695282,0.1234867125749588,109,19,0.18501529051987767,0.9210526315789473,10,"[""3510"", ""abc352_e"", ""abc346_c"", ""3114"", ""3809"", ""abc391_f"", ""3455"", ""abc356_e"", ""abc361_e"", ""abc358_d""]",0.2000,1.0000
abc383_e,0,0.49728918075561523,0.8474313616752625,0.5825827717781067,105,25,0.24206349206349204,0.78,10,"[""abc391_f"", ""abc325_e"", ""abc370_b"", ""abc380_f"", ""3809"", ""abc386_d"", ""abc397_e"", ""abc386_e"", ""abc367_g"", ""abc399_f""]",0.2000,1.0000
abc383_e,1,0.41651082038879395,0.4968096613883972,0.4532544016838074,105,20,0.2119047619047619,0.875,10,"[""arc189_c"", ""3764"", ""abc354_e"", ""abc308_c"", ""abc349_e"", ""abc323_c"", ""abc378_d"", ""abc304_d"", ""abc356_b"", ""abc325_b""]",0.2000,1.0000
abc383_e,2,0.37140458822250366,0.4156476557254791,0.3937074542045593,105,25,0.23809523809523808,0.8733333333333333,10,"[""abc380_e"", ""abc384_b"", ""abc369_b"", ""abc368_a"", ""abc332_d"", ""abc314_c"", ""abc306_c"", ""arc182_d"", ""abc361_a"", ""abc392_b""]",0.4000,1.0000
abc383_e,3,0.3308333158493042,0.37135234475135803,0.35084453225135803,105,36,0.3468253968253968,0.9027777777777778,10,"[""abc322_d"", ""3495"", ""abc344_e"", ""abc356_d"", ""abc310_a"", ""abc371_b"", ""abc338_e"", ""abc388_b"", ""abc330_d"", ""abc391_b""]",0.0000,0.0000
abc383_e,4,0.2978416979312897,0.33073854446411133,0.31252527236938477,105,27,0.2873015873015873,0.9104938271604938,10,"[""abc384_f"", ""abc328_a"", ""abc347_c"", ""abc342_c"", ""abc324_e"", ""abc340_b"", ""2877"", ""abc390_a"", ""abc376_a"", ""abc324_c""]",0.1000,1.0000
abc383_e,5,0.25352364778518677,0.29764455556869507,0.2751882076263428,105,29,0.26285714285714284,0.8367816091954022,10,"[""2878"", ""abc330_b"", ""3593"", ""abc386_a"", ""3631"", ""3245"", ""abc331_a"", ""abc311_a"", ""abc335_b"", ""3622""]",0.4000,1.0000
abc383_e,6,0.22229298949241638,0.2535061836242676,0.23791813850402832,105,34,0.30793650793650795,0.892156862745098,10,"[""3210"", ""abc384_a"", ""abc346_a"", ""abc355_a"", ""abc380_b"", ""abc322_a"", ""abc304_c"", ""2848"", ""3584"", ""abc388_a""]",0.4500,1.0000
abc383_e,7,0.18362483382225037,0.22191067039966583,0.20287802815437317,105,40,0.3841269841269841,0.9,10,"[""1883_B"", ""abc330_a"", ""arc194_d"", ""abc356_a"", ""2882"", ""abc362_b"", ""abc389_a"", ""abc333_c"", ""abc338_b"", ""abc400_e""]",0.2500,1.0000
abc383_e,8,0.13662660121917725,0.1829376220703125,0.16336476802825928,105,52,0.45238095238095233,0.8525641025641024,10,"[""3230"", ""abc382_b"", ""3484"", ""3736"", ""3690"", ""3629"", ""abc359_a"", ""abc387_a"", ""3195"", ""2786""]",0.3500,1.0000
abc383_e,9,0.019169069826602936,0.13653327524662018,0.09127781540155411,109,71,0.6266055045871559,0.9197183098591547,10,"[""abc323_a"", ""3396"", ""3493"", ""abc336_b"", ""3462"", ""abc304_b"", ""2999"", ""3567"", ""3507"", ""3768""]",0.2000,0.5000
abc315_a,0,0.39154112339019775,0.7611839175224304,0.49151480197906494,105,65,0.6198412698412697,0.941025641025641,10,"[""abc320_b"", ""abc323_a"", ""abc324_c"", ""3308"", ""abc358_a"", ""abc342_c"", ""2887"", ""abc312_a"", ""abc384_a"", ""abc336_a""]",1.0000,1.0000
abc315_a,1,0.3267495930194855,0.3877860903739929,0.35286015272140503,105,67,0.606031746031746,0.8763681592039801,10,"[""abc399_e"", ""arc181_b"", ""abc329_e"", ""abc319_b"", ""abc306_c"", ""3210"", ""abc329_d"", ""abc304_a"", ""abc355_a"", ""abc334_a""]",1.0000,1.0000
abc315_a,2,0.2722473442554474,0.32632553577423096,0.29580458998680115,105,50,0.4882539682539682,0.8953333333333333,10,"[""abc346_a"", ""abc333_c"", ""abc364_b"", ""abc307_c"", ""abc365_a"", ""abc370_b"", ""abc387_a"", ""3395"", ""abc380_f"", ""abc344_e""]",1.0000,1.0000
abc315_a,3,0.23573847115039825,0.27196353673934937,0.25381356477737427,105,41,0.407936507936508,0.9146341463414634,10,"[""abc361_c"", ""abc343_e"", ""abc335_b"", ""abc380_e"", ""abc330_a"", ""3361"", ""abc335_c"", ""abc385_a"", ""abc302_a"", ""abc375_e""]",1.0000,1.0000
abc315_a,4,0.2052048146724701,0.23548012971878052,0.21954719722270966,105,26,0.2722222222222222,0.8846153846153846,10,"[""abc348_c"", ""3568"", ""3195"", ""2755"", ""abc391_b"", ""3174"", ""3637"", ""abc318_a"", ""abc362_b"", ""abc308_c""]",1.0000,1.0000
abc315_a,5,0.18245595693588257,0.20512546598911285,0.19385269284248352,105,34,0.3087301587301588,0.8578431372549019,10,"[""2848"", ""2824"", ""3511"", ""abc310_a"", ""abc384_b"", ""abc338_e"", ""arc182_d"", ""2920"", ""arc195_a"", ""abc376_f""]",0.9000,1.0000
abc315_a,6,0.15333180129528046,0.18232281506061554,0.16657105088233948,105,20,0.19444444444444442,0.8166666666666667,10,"[""3801"", ""abc364_d"", ""3690"", ""3631"", ""abc344_c"", ""abc377_c"", ""abc367_g"", ""abc388_b"", ""3376"", ""abc365_c""]",1.0000,1.0000
abc315_a,7,0.1226256862282753,0.15259967744350433,0.13833102583885193,105,19,0.15317460317460316,0.7543859649122806,10,"[""2812"", ""3196"", ""arc184_e"", ""abc328_e"", ""3026"", ""3593"", ""2878"", ""abc367_f"", ""arc195_b"", ""abc356_d""]",0.8000,1.0000
abc315_a,8,0.09158743172883987,0.12225169688463211,0.10679088532924652,105,19,0.1841269841269841,0.868421052631579,10,"[""3420"", ""3245"", ""3510"", ""3114"", ""3626"", ""3172"", ""2802"", ""3414"", ""2849"", ""2882""]",1.0000,1.0000
abc315_a,9,-0.034904398024082184,0.09071120619773865,0.05397587642073631,109,17,0.1345565749235474,0.8039215686274509,10,"[""3306"", ""3558"", ""3622"", ""3764"", ""3817"", ""3106"", ""2811"", ""2952"", ""abc371_d"", ""3759""]",0.9000,1.0000
3227,0,0.36474207043647766,0.5900725722312927,0.41724762320518494,105,19,0.1873015873015873,0.9122807017543859,10,"[""3584"", ""abc392_b"", ""abc349_e"", ""abc351_b"", ""3736"", ""abc391_b"", ""abc355_c"", ""3373"", ""abc348_b"", ""3420""]",0.0000,0.0000
