step,problem_id,reward,cumulative_regret,accuracy,n_examples,memory_size,cached
0,1899_A,0.0000,1.0000,0.0000,0,0,0
1,abc383_e,0.0000,2.0000,0.0000,0,0,0
2,abc315_a,1.0000,2.0000,0.3333,0,1,1
3,3227,0.0000,3.0000,0.2500,1,1,0
4,arc190_c,0.0000,4.0000,0.2000,1,1,0
5,3210,1.0000,4.0000,0.3333,1,2,1
6,arc192_b,0.6667,4.3333,0.4286,2,3,1
7,3605,0.0000,5.3333,0.3750,3,3,0
8,abc398_g,0.0000,6.3333,0.3333,3,3,0
9,abc378_d,0.6667,6.6667,0.4000,3,4,1
10,abc344_a,1.0000,6.6667,0.4545,3,5,1
11,abc374_b,1.0000,6.6667,0.5000,3,6,1
12,3264,0.0000,7.6667,0.4615,3,6,0
13,abc397_d,0.0000,8.6667,0.4286,3,6,0
14,3414,0.5000,9.1667,0.4667,3,7,1
15,arc186_a,0.5000,9.6667,0.5000,3,8,1
16,arc189_b,0.0000,10.6667,0.4706,3,8,0
17,3151,0.0000,11.6667,0.4444,3,8,0
18,abc376_g,0.0000,12.6667,0.4211,3,8,0
19,abc363_a,0.0000,13.6667,0.4000,3,8,0
20,abc380_d,0.0000,14.6667,0.3810,3,8,0
21,abc384_a,1.0000,14.6667,0.4091,3,9,1
22,3384,1.0000,14.6667,0.4348,3,10,1
23,abc303_a,0.0000,15.6667,0.4167,3,10,0
24,abc396_a,1.0000,15.6667,0.4400,3,11,1
25,abc323_b,0.0000,16.6667,0.4231,3,11,0
26,3019,1.0000,16.6667,0.4444,3,12,1
27,abc326_a,0.6667,17.0000,0.4643,3,13,1
28,abc387_c,0.0000,18.0000,0.4483,3,13,0
29,arc188_c,0.3333,18.6667,0.4667,3,13,0
30,abc314_e,0.0000,19.6667,0.4516,3,13,0
31,2881,1.0000,19.6667,0.4688,3,14,1
32,abc391_g,0.0000,20.6667,0.4545,3,14,0
33,abc379_b,1.0000,20.6667,0.4706,3,15,1
34,abc376_b,0.0000,21.6667,0.4571,3,15,0
35,abc371_g,0.3333,22.3333,0.4722,3,15,0
36,abc375_c,0.0000,23.3333,0.4595,3,15,0
37,3044,0.3333,24.0000,0.4737,3,15,0
38,abc329_b,1.0000,24.0000,0.4872,3,16,1
39,abc398_d,0.3333,24.6667,0.5000,3,16,0
40,3510,1.0000,24.6667,0.5122,3,17,1
41,2779,0.0000,25.6667,0.5000,3,17,0
42,3375,0.0000,26.6667,0.4884,3,17,0
43,abc368_e,0.3333,27.3333,0.5000,3,17,0
44,arc193_d,0.0000,28.3333,0.4889,3,17,0
45,2827,1.0000,28.3333,0.5000,3,18,1
46,3785,0.6667,28.6667,0.5106,3,19,1
47,3532,0.0000,29.6667,0.5000,3,19,0
48,abc357_c,1.0000,29.6667,0.5102,3,20,1
49,abc394_e,0.0000,30.6667,0.5000,3,20,0
50,abc392_g,0.0000,31.6667,0.4902,3,20,0
51,3462,0.5000,32.1667,0.5000,3,21,1
52,abc361_b,1.0000,32.1667,0.5094,3,22,1
53,2856,1.0000,32.1667,0.5185,3,23,1
54,2777,0.0000,33.1667,0.5091,3,23,0
55,abc398_c,0.5000,33.6667,0.5179,3,24,1
56,abc377_g,0.0000,34.6667,0.5088,3,24,0
57,3625,1.0000,34.6667,0.5172,3,25,1
58,3382,0.3333,35.3333,0.5254,3,25,0
59,3402,0.0000,36.3333,0.5167,3,25,0
60,3764,1.0000,36.3333,0.5246,3,26,1
61,2784,0.0000,37.3333,0.5161,3,26,0
62,3221,0.0000,38.3333,0.5079,3,26,0
63,3533,0.0000,39.3333,0.5000,3,26,0
64,2816,1.0000,39.3333,0.5077,3,27,1
65,3324,1.0000,39.3333,0.5152,3,28,1
66,abc354_e,0.5000,39.8333,0.5224,3,29,1
67,abc374_e,0.0000,40.8333,0.5147,3,29,0
68,abc399_a,1.0000,40.8333,0.5217,3,30,1
69,3553,1.0000,40.8333,0.5286,3,31,1
70,3398,0.0000,41.8333,0.5211,3,31,0
71,abc376_c,0.0000,42.8333,0.5139,3,31,0
72,arc195_b,0.6667,43.1667,0.5205,3,32,1
73,3428,1.0000,43.1667,0.5270,3,33,1
74,abc308_c,1.0000,43.1667,0.5333,3,34,1
75,abc337_a,1.0000,43.1667,0.5395,3,35,1
76,abc323_e,0.0000,44.1667,0.5325,3,35,0
77,3493,0.5000,44.6667,0.5385,3,36,1
78,2825,1.0000,44.6667,0.5443,3,37,1
79,2811,0.5000,45.1667,0.5500,3,38,1
80,3636,1.0000,45.1667,0.5556,3,39,1
81,abc332_a,1.0000,45.1667,0.5610,3,40,1
82,abc355_d,0.6667,45.5000,0.5663,3,41,1
83,3485,0.0000,46.5000,0.5595,3,41,0
84,abc381_e,0.0000,47.5000,0.5529,3,41,0
85,abc381_c,0.0000,48.5000,0.5465,3,41,0
86,abc368_d,0.3333,49.1667,0.5517,3,41,0
87,3737,0.0000,50.1667,0.5455,3,41,0
88,abc350_d,0.3333,50.8333,0.5506,3,41,0
89,3225,1.0000,50.8333,0.5556,3,42,1
90,3733,0.0000,51.8333,0.5495,3,42,0
91,3438,0.0000,52.8333,0.5435,3,42,0
92,abc399_f,1.0000,52.8333,0.5484,3,43,1
93,abc302_e,0.5000,53.3333,0.5532,3,44,1
94,abc390_a,1.0000,53.3333,0.5579,3,45,1
95,abc362_c,0.3333,54.0000,0.5625,3,45,0
96,2921,0.0000,55.0000,0.5567,3,45,0
97,2917,0.0000,56.0000,0.5510,3,45,0
98,abc378_e,0.0000,57.0000,0.5455,3,45,0
99,2867,0.0000,58.0000,0.5400,3,45,0
100,3541,0.0000,59.0000,0.5347,3,45,0
101,abc356_b,1.0000,59.0000,0.5392,3,46,1
102,abc323_d,0.0000,60.0000,0.5340,3,46,0
103,abc392_b,1.0000,60.0000,0.5385,3,47,1
104,abc334_d,0.0000,61.0000,0.5333,3,47,0
105,abc329_d,0.0000,62.0000,0.5283,3,47,0
106,abc399_d,0.0000,63.0000,0.5234,3,47,0
107,abc349_d,0.3333,63.6667,0.5278,3,47,0
108,abc338_a,1.0000,63.6667,0.5321,3,48,1
109,3626,1.0000,63.6667,0.5364,3,49,1
110,abc305_b,1.0000,63.6667,0.5405,3,50,1
111,abc380_a,1.0000,63.6667,0.5446,3,51,1
112,3242,1.0000,63.6667,0.5487,3,52,1
113,arc191_d,0.0000,64.6667,0.5439,3,52,0
114,abc375_a,1.0000,64.6667,0.5478,3,53,1
115,abc333_e,0.3333,65.3333,0.5517,3,53,0
116,3548,0.0000,66.3333,0.5470,3,53,0
117,arc183_d,0.2500,67.0833,0.5508,3,53,0
118,abc336_a,1.0000,67.0833,0.5546,3,54,1
119,3387,1.0000,67.0833,0.5583,3,55,1
120,abc301_d,0.3333,67.7500,0.5620,3,55,0
121,3747,0.0000,68.7500,0.5574,3,55,0
122,3683,0.0000,69.7500,0.5528,3,55,0
123,3269,0.0000,70.7500,0.5484,3,55,0
124,3411,0.0000,71.7500,0.5440,3,55,0
125,3786,0.0000,72.7500,0.5397,3,55,0
126,abc313_b,0.6667,73.0833,0.5433,3,56,1
127,3508,0.3333,73.7500,0.5469,3,56,0
128,abc347_e,1.0000,73.7500,0.5504,3,57,1
129,3580,1.0000,73.7500,0.5538,3,58,1
130,arc186_b,0.0000,74.7500,0.5496,3,58,0
131,3777,0.3333,75.4167,0.5530,3,58,0
132,3397,1.0000,75.4167,0.5564,3,59,1
133,abc356_e,1.0000,75.4167,0.5597,3,60,1
134,arc195_e,0.0000,76.4167,0.5556,3,60,0
135,abc375_g,0.0000,77.4167,0.5515,3,60,0
136,abc372_f,0.3333,78.0833,0.5547,3,60,0
137,abc367_d,0.3333,78.7500,0.5580,3,60,0
138,abc388_g,0.0000,79.7500,0.5540,3,60,0
139,3231,0.0000,80.7500,0.5500,3,60,0
140,abc389_d,1.0000,80.7500,0.5532,3,61,1
141,3207,1.0000,80.7500,0.5563,3,62,1
142,abc367_f,1.0000,80.7500,0.5594,3,63,1
143,abc339_a,1.0000,80.7500,0.5625,3,64,1
144,abc312_c,0.0000,81.7500,0.5586,3,64,0
145,3024,0.0000,82.7500,0.5548,3,64,0
146,abc320_d,0.0000,83.7500,0.5510,3,64,0
147,abc364_e,0.2500,84.5000,0.5541,3,64,0
148,abc366_d,0.0000,85.5000,0.5503,3,64,0
149,abc329_e,0.6667,85.8333,0.5533,3,65,1
150,abc384_e,0.0000,86.8333,0.5497,3,65,0
151,abc373_g,0.0000,87.8333,0.5461,3,65,0
152,3228,0.0000,88.8333,0.5425,3,65,0
153,abc304_d,1.0000,88.8333,0.5455,3,66,1
154,3613,0.0000,89.8333,0.5419,3,66,0
155,3381,0.0000,90.8333,0.5385,3,66,0
156,3686,0.0000,91.8333,0.5350,3,66,0
157,3328,0.5000,92.3333,0.5380,3,67,1
158,abc322_b,1.0000,92.3333,0.5409,3,68,1
159,3468,0.0000,93.3333,0.5375,3,68,0
160,3658,0.3333,94.0000,0.5404,3,68,0
161,2855,0.0000,95.0000,0.5370,3,68,0
162,2817,0.5000,95.5000,0.5399,3,69,1
163,3496,0.0000,96.5000,0.5366,3,69,0
