step,problem_id,reward,cumulative_regret,accuracy,n_examples,memory_size,cached
0,1899_A,0.0000,1.0000,0.0000,0,0,0
1,abc383_e,0.0000,2.0000,0.0000,0,0,0
2,abc315_a,1.0000,2.0000,0.3333,0,1,1
3,3227,0.0000,3.0000,0.2500,0,1,0
4,arc190_c,0.0000,4.0000,0.2000,0,1,0
5,3210,1.0000,4.0000,0.3333,0,2,1
6,arc192_b,0.3333,4.6667,0.4286,0,2,0
7,3605,0.0000,5.6667,0.3750,0,2,0
8,abc398_g,0.6667,6.0000,0.4444,0,3,1
9,abc378_d,0.3333,6.6667,0.5000,0,3,0
10,abc344_a,1.0000,6.6667,0.5455,0,4,1
11,abc374_b,1.0000,6.6667,0.5833,0,5,1
12,3264,0.0000,7.6667,0.5385,0,5,0
13,abc397_d,0.0000,8.6667,0.5000,0,5,0
14,3414,0.5000,9.1667,0.5333,0,6,1
15,arc186_a,0.5000,9.6667,0.5625,0,7,1
16,arc189_b,0.0000,10.6667,0.5294,0,7,0
17,3151,0.0000,11.6667,0.5000,0,7,0
18,abc376_g,0.0000,12.6667,0.4737,0,7,0
19,abc363_a,1.0000,12.6667,0.5000,0,8,1
20,abc380_d,0.0000,13.6667,0.4762,0,8,0
21,abc384_a,1.0000,13.6667,0.5000,0,9,1
22,3384,0.0000,14.6667,0.4783,0,9,0
23,abc303_a,1.0000,14.6667,0.5000,0,10,1
24,abc396_a,1.0000,14.6667,0.5200,0,11,1
25,abc323_b,1.0000,14.6667,0.5385,0,12,1
26,3019,1.0000,14.6667,0.5556,0,13,1
27,abc326_a,0.6667,15.0000,0.5714,0,14,1
28,abc387_c,0.0000,16.0000,0.5517,0,14,0
29,arc188_c,0.3333,16.6667,0.5667,0,14,0
30,abc314_e,0.0000,17.6667,0.5484,0,14,0
31,2881,0.0000,18.6667,0.5312,0,14,0
32,abc391_g,0.0000,19.6667,0.5152,0,14,0
33,abc379_b,1.0000,19.6667,0.5294,0,15,1
34,abc376_b,0.6667,20.0000,0.5429,0,16,1
35,abc371_g,0.0000,21.0000,0.5278,0,16,0
36,abc375_c,0.0000,22.0000,0.5135,0,16,0
37,3044,0.0000,23.0000,0.5000,0,16,0
38,abc329_b,1.0000,23.0000,0.5128,0,17,1
39,abc398_d,0.3333,23.6667,0.5250,0,17,0
40,3510,1.0000,23.6667,0.5366,0,18,1
41,2779,0.0000,24.6667,0.5238,0,18,0
42,3375,0.0000,25.6667,0.5116,0,18,0
43,abc368_e,0.0000,26.6667,0.5000,0,18,0
44,arc193_d,0.0000,27.6667,0.4889,0,18,0
45,2827,0.0000,28.6667,0.4783,0,18,0
46,3785,0.3333,29.3333,0.4894,0,18,0
47,3532,0.0000,30.3333,0.4792,0,18,0
48,abc357_c,0.0000,31.3333,0.4694,0,18,0
49,abc394_e,0.0000,32.3333,0.4600,0,18,0
50,abc392_g,0.0000,33.3333,0.4510,0,18,0
51,3462,0.5000,33.8333,0.4615,0,19,1
52,abc361_b,1.0000,33.8333,0.4717,0,20,1
53,2856,0.0000,34.8333,0.4630,0,20,0
54,2777,0.0000,35.8333,0.4545,0,20,0
55,abc398_c,0.5000,36.3333,0.4643,0,21,1
56,abc377_g,0.0000,37.3333,0.4561,0,21,0
57,3625,0.5000,37.8333,0.4655,0,22,1
58,3382,0.0000,38.8333,0.4576,0,22,0
59,3402,0.0000,39.8333,0.4500,0,22,0
60,3764,1.0000,39.8333,0.4590,0,23,1
61,2784,0.0000,40.8333,0.4516,0,23,0
62,3221,0.0000,41.8333,0.4444,0,23,0
63,3533,0.0000,42.8333,0.4375,0,23,0
64,2816,1.0000,42.8333,0.4462,0,24,1
65,3324,0.0000,43.8333,0.4394,0,24,0
66,abc354_e,0.0000,44.8333,0.4328,0,24,0
67,abc374_e,0.0000,45.8333,0.4265,0,24,0
68,abc399_a,1.0000,45.8333,0.4348,0,25,1
69,3553,1.0000,45.8333,0.4429,0,26,1
70,3398,0.0000,46.8333,0.4366,0,26,0
71,abc376_c,0.3333,47.5000,0.4444,0,26,0
72,arc195_b,0.6667,47.8333,0.4521,0,27,1
73,3428,0.0000,48.8333,0.4459,0,27,0
74,abc308_c,1.0000,48.8333,0.4533,0,28,1
75,abc337_a,1.0000,48.8333,0.4605,0,29,1
76,abc323_e,0.0000,49.8333,0.4545,0,29,0
77,3493,0.5000,50.3333,0.4615,0,30,1
78,2825,1.0000,50.3333,0.4684,0,31,1
79,2811,1.0000,50.3333,0.4750,0,32,1
80,3636,1.0000,50.3333,0.4815,0,33,1
81,abc332_a,1.0000,50.3333,0.4878,0,34,1
82,abc355_d,0.3333,51.0000,0.4940,0,34,0
83,3485,0.0000,52.0000,0.4881,0,34,0
84,abc381_e,0.0000,53.0000,0.4824,0,34,0
85,abc381_c,0.0000,54.0000,0.4767,0,34,0
86,abc368_d,0.3333,54.6667,0.4828,0,34,0
87,3737,0.0000,55.6667,0.4773,0,34,0
88,abc350_d,0.3333,56.3333,0.4831,0,34,0
89,3225,0.0000,57.3333,0.4778,0,34,0
90,3733,0.0000,58.3333,0.4725,0,34,0
91,3438,0.0000,59.3333,0.4674,0,34,0
92,abc399_f,1.0000,59.3333,0.4731,0,35,1
93,abc302_e,1.0000,59.3333,0.4787,0,36,1
94,abc390_a,0.7500,59.5833,0.4842,0,37,1
95,abc362_c,0.3333,60.2500,0.4896,0,37,0
96,2921,0.0000,61.2500,0.4845,0,37,0
97,2917,0.0000,62.2500,0.4796,0,37,0
98,abc378_e,0.0000,63.2500,0.4747,0,37,0
99,2867,0.0000,64.2500,0.4700,0,37,0
100,3541,0.0000,65.2500,0.4653,0,37,0
101,abc356_b,1.0000,65.2500,0.4706,0,38,1
102,abc323_d,0.0000,66.2500,0.4660,0,38,0
103,abc392_b,1.0000,66.2500,0.4712,0,39,1
104,abc334_d,0.0000,67.2500,0.4667,0,39,0
105,abc329_d,1.0000,67.2500,0.4717,0,40,1
106,abc399_d,0.0000,68.2500,0.4673,0,40,0
107,abc349_d,0.3333,68.9167,0.4722,0,40,0
108,abc338_a,1.0000,68.9167,0.4771,0,41,1
109,3626,1.0000,68.9167,0.4818,0,42,1
110,abc305_b,1.0000,68.9167,0.4865,0,43,1
111,abc380_a,1.0000,68.9167,0.4911,0,44,1
112,3242,0.0000,69.9167,0.4867,0,44,0
113,arc191_d,0.0000,70.9167,0.4825,0,44,0
114,abc375_a,1.0000,70.9167,0.4870,0,45,1
115,abc333_e,0.3333,71.5833,0.4914,0,45,0
116,3548,0.3333,72.2500,0.4957,0,45,0
117,arc183_d,0.0000,73.2500,0.4915,0,45,0
118,abc336_a,1.0000,73.2500,0.4958,0,46,1
119,3387,0.0000,74.2500,0.4917,0,46,0
120,abc301_d,0.6667,74.5833,0.4959,0,47,1
121,3747,0.0000,75.5833,0.4918,0,47,0
122,3683,0.0000,76.5833,0.4878,0,47,0
123,3269,0.0000,77.5833,0.4839,0,47,0
124,3411,0.0000,78.5833,0.4800,0,47,0
125,3786,0.0000,79.5833,0.4762,0,47,0
126,abc313_b,0.0000,80.5833,0.4724,0,47,0
127,3508,0.3333,81.2500,0.4766,0,47,0
128,abc347_e,0.0000,82.2500,0.4729,0,47,0
129,3580,1.0000,82.2500,0.4769,0,48,1
130,arc186_b,0.0000,83.2500,0.4733,0,48,0
131,3777,0.0000,84.2500,0.4697,0,48,0
132,3397,0.0000,85.2500,0.4662,0,48,0
133,abc356_e,1.0000,85.2500,0.4701,0,49,1
134,arc195_e,0.0000,86.2500,0.4667,0,49,0
135,abc375_g,0.3333,86.9167,0.4706,0,49,0
136,abc372_f,0.0000,87.9167,0.4672,0,49,0
137,abc367_d,0.3333,88.5833,0.4710,0,49,0
138,abc388_g,0.0000,89.5833,0.4676,0,49,0
139,3231,0.0000,90.5833,0.4643,0,49,0
140,abc389_d,0.0000,91.5833,0.4610,0,49,0
141,3207,1.0000,91.5833,0.4648,0,50,1
142,abc367_f,1.0000,91.5833,0.4685,0,51,1
143,abc339_a,1.0000,91.5833,0.4722,0,52,1
144,abc312_c,0.3333,92.2500,0.4759,0,52,0
145,3024,0.0000,93.2500,0.4726,0,52,0
146,abc320_d,0.0000,94.2500,0.4694,0,52,0
147,abc364_e,0.2500,95.0000,0.4730,0,52,0
148,abc366_d,0.0000,96.0000,0.4698,0,52,0
149,abc329_e,0.6667,96.3333,0.4733,0,53,1
150,abc384_e,0.3333,97.0000,0.4768,0,53,0
151,abc373_g,0.0000,98.0000,0.4737,0,53,0
152,3228,0.0000,99.0000,0.4706,0,53,0
153,abc304_d,1.0000,99.0000,0.4740,0,54,1
154,3613,0.0000,100.0000,0.4710,0,54,0
155,3381,0.0000,101.0000,0.4679,0,54,0
156,3686,0.0000,102.0000,0.4650,0,54,0
157,3328,0.5000,102.5000,0.4684,0,55,1
158,abc322_b,1.0000,102.5000,0.4717,0,56,1
159,3468,0.0000,103.5000,0.4688,0,56,0
160,3658,0.0000,104.5000,0.4658,0,56,0
161,2855,0.0000,105.5000,0.4630,0,56,0
162,2817,0.5000,106.0000,0.4663,0,57,1
163,3496,0.0000,107.0000,0.4634,0,57,0
