step,problem_id,pred,label,correct,cumulative_regret
0,0,Karachi,"Karachi, Pakistan",0,1.0000
1,1,Paper,Paper,1,1.0000
2,2,Yes,yes,1,1.0000
3,3,no,yes,0,2.0000
4,4,seasonal television specials,"seasonal television specials, particularly its work in stop motion animation",0,3.0000
5,5,Mr. Church,Mr. Church,1,3.0000
6,6,August,August 2011,0,4.0000
7,7,"Edmonton, Alberta","Edmonton, Alberta",1,4.0000
8,8,Unbreakable,Unbreakable,1,4.0000
9,9,35 people,35 people,1,4.0000
10,10,Hearts,Scottish Premiership club Hearts,0,5.0000
11,11,Nebo Zovyot,Nebo Zovyot,1,5.0000
12,12,Marvel Comics,Marvel,0,6.0000
13,13,New Journalism,the growing literary style called New Journalism,0,7.0000
14,14,The Chelsea Handler Show,Chelsea Does,0,8.0000
15,15,Pedro Rodríguez,Pedro Rodríguez,1,8.0000
16,16,Australia,Australian,0,9.0000
17,17,"Peter, Paul and Mary",Yarrow and Stookey,0,10.0000
18,18,Friends,Friends,1,10.0000
19,19,Wale,Wale,1,10.0000
20,20,The Four Seasons,The Four Seasons,1,10.0000
21,21,Compliance,Compliance,1,10.0000
22,22,Maria von Trapp,Maria von Trapp,1,10.0000
23,23,Figaro,Figaro,1,10.0000
24,24,Yellowcraigs,Yellowcraig,0,11.0000
25,25,PPG Paints Arena,PPG Paints Arena,1,11.0000
26,26,drafting,Conscription,0,12.0000
27,27,Autopia,Autopia,1,12.0000
28,28,gull-wing doors,gull-wing doors,1,12.0000
29,29,Captain John Underhill,Captain John Underhill,1,12.0000
30,30,The Go-Go's,"The Go-Go's,",1,12.0000
31,31,No,no,1,12.0000
32,32,33,33,1,12.0000
33,33,Distaghil Sar,Distaghil Sar,1,12.0000
34,34,"1,462","1,462",1,12.0000
35,35,Papa John's Cardinal Stadium,Mercedes-Benz Superdome,0,13.0000
36,36,Prince George's County,Prince George's County,1,13.0000
37,37,RTN,VH1,0,14.0000
38,38,1866,1866,1,14.0000
39,39,José Echegaray y Eizaguirre,José Echegaray y Eizaguirre,1,14.0000
40,40,Hidden America with Jonah Ray,Hidden America with Jonah Ray,1,14.0000
41,41,North African,North African Arab,0,15.0000
42,42,7°56',7°56',1,15.0000
43,43,Worcester County,Worcester County,1,15.0000
44,44,Rob Bickhart,"""Walk Like an Egyptian""",0,16.0000
45,45,United States ambassador,Chief of Protocol,0,17.0000
