step,pred,label,correct,cumulative_regret
0,Karachi,"Karachi, Pakistan",0,1.0000
1,Paper,Paper,1,1.0000
2,Yes,yes,1,1.0000
3,no,yes,0,2.0000
4,seasonal television specials,"seasonal television specials, particularly its work in stop motion animation",0,3.0000
5,Mr. Church,Mr. Church,1,3.0000
6,August,August 2011,0,4.0000
7,"Edmonton, Alberta","Edmonton, Alberta",1,4.0000
8,Unbreakable,Unbreakable,1,4.0000
9,35 people,35 people,1,4.0000
10,Hearts,Scottish Premiership club Hearts,0,5.0000
11,Nebo Zovyot,Nebo Zovyot,1,5.0000
12,Marvel Comics,Marvel,0,6.0000
13,New Journalism,the growing literary style called New Journalism,0,7.0000
14,The Chelsea Handler Show,Chelsea Does,0,8.0000
15,Pedro Rodríguez,Pedro Rodríguez,1,8.0000
16,Australia,Australian,0,9.0000
17,"Peter, Paul and Mary",Yarrow and Stookey,0,10.0000
18,Friends,Friends,1,10.0000
19,Wale,Wale,1,10.0000
20,The Four Seasons,The Four Seasons,1,10.0000
21,Compliance,Compliance,1,10.0000
22,Maria von Trapp,Maria von Trapp,1,10.0000
23,Figaro,Figaro,1,10.0000
24,Yellowcraigs,Yellowcraig,0,11.0000
25,PPG Paints Arena,PPG Paints Arena,1,11.0000
26,drafting,Conscription,0,12.0000
27,Autopia,Autopia,1,12.0000
28,gull-wing doors,gull-wing doors,1,12.0000
29,Captain John Underhill,Captain John Underhill,1,12.0000
30,The Go-Go's,"The Go-Go's,",1,12.0000
31,No,no,1,12.0000
32,33,33,1,12.0000
33,Distaghil Sar,Distaghil Sar,1,12.0000
34,"1,462","1,462",1,12.0000
35,Papa John's Cardinal Stadium,Mercedes-Benz Superdome,0,13.0000
36,Prince George's County,Prince George's County,1,13.0000
37,RTN,VH1,0,14.0000
38,1866,1866,1,14.0000
39,José Echegaray y Eizaguirre,José Echegaray y Eizaguirre,1,14.0000
40,Hidden America with Jonah Ray,Hidden America with Jonah Ray,1,14.0000
41,North African,North African Arab,0,15.0000
42,7°56',7°56',1,15.0000
43,Worcester County,Worcester County,1,15.0000
44,Rob Bickhart,"""Walk Like an Egyptian""",0,16.0000
45,United States ambassador,Chief of Protocol,0,17.0000
46,Salma Hayek,Salma Hayek Pinault,0,18.0000
47,AMC Theatres,AMC Theatres,1,18.0000
48,No,no,1,18.0000
49,Dr. Alberto Taquini,Dr. Alberto Taquini,1,18.0000
50,Yes,yes,1,18.0000
51,Bishop's Stortford,Bishop's Stortford,1,18.0000
52,Jeffrey Meldrum,"Don Jeffrey ""Jeff"" Meldrum (born May 24, 1958) is a Professor of Anatomy and Anthropology",0,19.0000
53,VNO,"IATA: VNO, ICAO: EYVI",0,20.0000
54,Usher,Usher,1,20.0000
55,unknown,three million copies worldwide,0,21.0000
56,1838,1838,1,21.0000
57,author,author,1,21.0000
58,William Blake Herron,"musician, editor and composer.",0,22.0000
59,Mako,Mako,1,22.0000
60,1736,1736,1,22.0000
61,Sullivan County,Newport,0,23.0000
62,Oxford University,Oxford,0,24.0000
63,Training Day,Suicide Squad,0,25.0000
64,"Doniphan County, Kansas",the U.S. state of Kansas,0,26.0000
65,John Morgan,John Morgan,1,26.0000
66,Romeo,Tybalt,0,27.0000
67,4.4 mi,2844 km,0,28.0000
68,no,no,1,28.0000
69,"Graffiti, breakdancing, rapping, hip hop producing, and DJing",Graffiti,0,29.0000
70,Quantrill's Raiders,pro-Confederate,0,30.0000
71,gay literature,"American educator, writer,",0,31.0000
72,Helen Hunt,Helen Elizabeth Hunt,0,32.0000
73,Old Dogs,Old Dogs,1,32.0000
74,Bergen,Hordaland,0,33.0000
75,Big 12 Conference,the Big 12 Conference,1,33.0000
76,Big 12 Conference,Big 12,0,34.0000
77,Rockstar Games,Rockstar San Diego,0,35.0000
78,Syd Barrett,"Gregory John ""Greg"" Puciato",0,36.0000
79,New York City,yes,0,37.0000
80,Buffalo,no,0,38.0000
81,Casino,Richmond,0,39.0000
82,"26,000","about 26,000.",0,40.0000
83,Ian Watkins,Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,0,41.0000
84,Augustus,Caligula,0,42.0000
85,Thomas Friedman,Thomas Loren Friedman,0,43.0000
86,The Drop-In,Comedy Film Nerds,0,44.0000
87,John D Rockefeller,John D Rockefeller's Standard Oil Company,0,45.0000
88,rapper,"professional wrestler, actor, and hip hop musician",0,46.0000
89,Orange County,Orange County,1,46.0000
90,"June 11, 1986","June 11, 1986",1,46.0000
91,Chicago Bears,the Bears,0,47.0000
92,"February 20, 1978","February 20, 1978",1,47.0000
93,Queen In-hyun's Man,Queen In-hyun's Man,1,47.0000
94,2009,2009,1,47.0000
95,University of Maryland University College,"Prince George's County, Maryland",0,48.0000
96,Red Dead Redemption,Red Dead Redemption,1,48.0000
97,Love Streams,Love Streams,1,48.0000
98,Peer,Peer,1,48.0000
99,Constantine,Constantine,1,48.0000
100,Hacking Democracy,The Memory of Justice,0,49.0000
101,St Andrews,"St Andrews, Fife, Scotland",0,50.0000
102,Nicktoon Blast,Ghostbusters Spooktacular,0,51.0000
103,BC Dzūkija,BC Dzūkija,1,51.0000
104,Chicago,Germany,0,52.0000
105,Jennifer Aniston,Jennifer Aniston,1,52.0000
106,New York City,"New York City, New York",0,53.0000
107,yes,yes,1,53.0000
108,Renaissance Technologies,Renaissance Technologies,1,53.0000
109,St Kilda,Melbourne,0,54.0000
110,1953,1953,1,54.0000
111,girls aged 11 to 18,girls aged 11 to 18,1,54.0000
112,Henry J. Kaiser,Henry J. Kaiser,1,54.0000
113,Denmark,Prince of Denmark,0,55.0000
114,Saul Metzstein,"Douglas Eric ""Doug"" Liman",0,56.0000
115,yes,yes,1,56.0000
116,Yes,yes,1,56.0000
117,Yes,no,0,57.0000
118,Sacred Planet,Sacred Planet,1,57.0000
119,French,no,0,58.0000
120,"Brooklyn, New York","Brooklyn, New York",1,58.0000
121,The Chamber,The Chamber,1,58.0000
122,NA-16,North American Aviation T-6 Texan,0,59.0000
123,Arthur Conan Doyle,Arthur Ignatius Conan Doyle,0,60.0000
124,no,no,1,60.0000
125,shortest player ever to play in the National Basketball Association,shortest player ever to play in the National Basketball Association,1,60.0000
126,Italian English,English-language,0,61.0000
127,87,87,1,61.0000
128,Battle of Belleau Wood,The Battle of Belleau Wood,1,61.0000
129,St James's Palace,Mark Masons' Hall,0,62.0000
130,Mondelez International,"Mondelez International, Inc.",0,63.0000
131,filmmaker,director,0,64.0000
132,Coca-Cola FEMSA,Fomento Económico Mexicano,0,65.0000
133,American,American,1,65.0000
134,Brodhead Creek,Delaware River,0,66.0000
135,Stan,Kramer's caddy Stan,0,67.0000
136,yes,no,0,68.0000
137,"37,776","37,776",1,68.0000
138,Nusretiye Mosque,Nusretiye Mosque,1,68.0000
139,Football League,Championship,0,69.0000
140,October,February,0,70.0000
141,East Lancashire Railway,East Lancashire Railway,1,70.0000
142,mountain ranges,mountain ranges,1,70.0000
143,2002,"(foaled February 1, 1999)",0,71.0000
144,The Secret World,massively multiplayer online role-playing video game,0,72.0000
145,best cities to live in,50 best cities to live in,0,73.0000
146,Saoirse Ronan,Saoirse Ronan,1,73.0000
147,jam band sound,extensive use of segues,0,74.0000
148,Hong Kong,Hong Kong,1,74.0000
149,Yes,yes,1,74.0000
150,Lewis lamp,Argand lamp,0,75.0000
151,15,15,1,75.0000
152,"March 14, 2000",2000,0,76.0000
153,1952,1952,1,76.0000
154,20 October 1980,20 October 1980,1,76.0000
155,"Indianapolis, Indiana, USA","Indianapolis, Indiana",0,77.0000
156,hiphop,video game,0,78.0000
157,Yes,yes,1,78.0000
158,Yes,yes,1,78.0000
159,late 12th Century,the late 12th Century,1,78.0000
160,King David I,King George IV,0,79.0000
161,Jim Cummings,Sonic,0,80.0000
162,lemon juice,no,0,81.0000
163,Olathe East High School,"located in Olathe, Kansas",0,82.0000
164,Tron,Tron,1,82.0000
165,Los Angeles,Los Angeles,1,82.0000
166,56,32 people,0,83.0000
167,three centuries,three centuries,1,83.0000
168,executive search,"Executive Search, Board Consulting",0,84.0000
169,Yes,no,0,85.0000
170,2000,2000,1,85.0000
171,1999,1999,1,85.0000
172,Youtoo America,WB Television Network,0,86.0000
173,LaLee's Kin: The Legacy of Cotton,LaLee's Kin: The Legacy of Cotton,1,86.0000
174,Wildwood,Wildwood,1,86.0000
175,tennis,tennis,1,86.0000
176,UFC 50,The War of '04,0,87.0000
177,The Agronomist,The Agronomist,1,87.0000
178,575 acres,575 acres (2.08 km²),0,88.0000
179,no,no,1,88.0000
180,Knowsley United Women,Knowsley United Women,1,88.0000
181,Gary Johnson,Gary Earl Johnson,0,89.0000
182,Historically important for the defence of the Cathedral Close,defence of the Cathedral,0,90.0000
183,Malta,Malta,1,90.0000
184,Bay of Fundy,Bay of Fundy,1,90.0000
185,Amanda Wyss,"Wesley ""Wes"" Studi",0,91.0000
186,German,German,1,91.0000
187,Venice,Venice,1,91.0000
188,Wolf Alice,Badly Drawn Boy,0,92.0000
189,Johnson Press,Johnson Press,1,92.0000
190,Carabao Cup,Carabao Cup,1,92.0000
191,first and only U.S. born world grand prix champion,American-born,0,93.0000
192,Pietro Badoglio,Marshal Pietro Badoglio,0,94.0000
193,TSN,Dave Thomas,0,95.0000
194,The Wachowskis,The Wachowskis,1,95.0000
195,"Indianapolis, Indiana",Indianapolis,0,96.0000
196,1989,1989,1,96.0000
197,Aubrey Posen,Aubrey Posen,1,96.0000
198,Preston,Preston,1,96.0000
199,The Bad and the Beautiful,Julius Caesar,0,97.0000
200,first,first freshman to finish as the runner-up,0,98.0000
201,Eucritta melanolimnetes,Eucritta melanolimnetes,1,98.0000
202,Baltimore,Baltimore,1,98.0000
203,Arrowhead Stadium,Arrowhead Stadium,1,98.0000
204,Blackie Lawless,third,0,99.0000
205,Levi Weeks,Levi Weeks,1,99.0000
206,CR-X,Honda Ballade,0,100.0000
207,Madrid,the autonomous community of Madrid,0,101.0000
208,Mandalay Entertainment,Mandalay Entertainment,1,101.0000
209,third season,third,0,102.0000
210,Two Is Better Than One,Love Drunk,0,103.0000
211,Leslie Knope,Leslie Knope,1,103.0000
212,Catholic Church in Ireland,The Catholic Church in Ireland,1,103.0000
213,1961,1961,1,103.0000
214,Punjabi/Pashtun,Punjabi/Pashtun,1,103.0000
215,Still Kicking: Six Artistic Women of Project Arts & Longevity,Still Kicking: Six Artistic Women of Project Arts & Longevity,1,103.0000
216,Fortnightly,fortnightly,1,103.0000
217,Belladonna,Belladonna,1,103.0000
218,worked as a fashion model,fashion model,0,104.0000
219,1969,1966,0,105.0000
220,The Futureheads,The Futureheads,1,105.0000
221,Lord's Resistance Movement,United Holy Salvation Army and Uganda Christian Army/Movement,0,106.0000
222,Fireflight,Dirty Pretty Things,0,107.0000
223,Italian sovereignty,sovereignty,0,108.0000
224,Pirate's Cove,Pirate's Cove,1,108.0000
225,Bayern Munich,Bayern Munich,1,108.0000
226,Agent Carter,Agent Carter,1,108.0000
227,Dayton Memorial Hall,First Street,0,109.0000
228,Santa Monica,"Santa Monica, California",0,110.0000
229,John Whiting,Peter Hall,0,111.0000
230,Iceland,Scotland,0,112.0000
231,1945 to 1969,from 1986 to 2013,0,113.0000
232,Australia,Australian actor and film producer,0,114.0000
233,Final Fantasy XII,Final Fantasy XII,1,114.0000
234,"Katharine Hepburn, Joan Bennett, Frances Dee, Jean Parker","Katharine Hepburn, Joan Bennett, Frances Dee",0,115.0000
235,Rabat,Beijing,0,116.0000
236,No,no,1,116.0000
237,Arthur Russell,Arthur Russell,1,116.0000
238,Wes Archer,Wes Archer,1,116.0000
239,Ector County,Ector County,1,116.0000
240,Herbert Ross,Herbert Ross,1,116.0000
241,United Kingdom,the Netherlands,0,117.0000
242,Starlite,Starlite,1,117.0000
243,Francisco Rafael Arellano Félix,Francisco Rafael Arellano Félix,1,117.0000
244,computer analysis of textual style,linguistic analysis,0,118.0000
245,Utne Reader,The New York Enterprise Report,0,119.0000
246,World Summit of Nobel Peace Laureates,Organizations could come together to address global issues,0,120.0000
247,Teach the Controversy,"""Teach the Controversy"" campaign",0,121.0000
248,Central Coast Council,City of Newcastle,0,122.0000
249,Waimea Bay,Waimea Bay,1,122.0000
250,"Boulder, Colorado",Boulder High School,0,123.0000
251,Ernst &amp; Young,Ernst & Young,0,124.0000
252,Eileen Atkins,Dame Eileen June Atkins,0,125.0000
253,TX-2 Tape System,8-track,0,126.0000
254,Film direction,screenwriter,0,127.0000
255,Play-by-post role-playing game,play-by-post role-playing game,1,127.0000
256,16 girls and 1 boy,nine girls and 10 boys,0,128.0000
257,John Waters,John Waters,1,128.0000
258,Southaven,"Southaven, Mississippi",0,129.0000
259,Mark Neveldine and Brian Taylor,Mark Neveldine and Brian Taylor,1,129.0000
260,Esteban Ocon,Esteban Ocon,1,129.0000
261,capital of the Socialist Republic of Vietnam,Viet Minh's base,0,130.0000
262,Hibbing,Saint Louis County,0,131.0000
263,Orono,Orono,1,131.0000
264,Syracuse University,Syracuse University.,1,131.0000
265,Dusty Dvoracek,Dusty Dvoracek,1,131.0000
266,Andrew Preston,James Taylor,0,132.0000
267,Rome,Rome,1,132.0000
268,Adam Levine,Matt Flynn,0,133.0000
269,John Schneider,Tim Allen,0,134.0000
270,Lisa Raymond,Liezel Huber,0,135.0000
271,Battleground,"""Talk That Talk""",0,136.0000
272,Mezzanine,Mezzanine,1,136.0000
273,supervisor of the royal works,supervisor of the royal works,1,136.0000
274,Saturday Night Live,"""The Wonder Years""",0,137.0000
275,Michael Swango,Michael Swango,1,137.0000
276,Bolton,Bolton,1,137.0000
277,Tumwater,"Tumwater, Washington",0,138.0000
278,Osaka International Airport,Osaka International Airport,1,138.0000
279,Myrtus,Eustoma,0,139.0000
280,Puente Hills Mall,Twin Pines/Lone Pine Mall,0,140.0000
281,Sean,Sean,1,140.0000
282,2018 Premier League Darts,2018 Unibet Premier League Darts,0,141.0000
283,Yes,no,0,142.0000
284,Apalachee,Apalachee,1,142.0000
285,Howard Fast,Howard Melvin Fast,0,143.0000
286,Edmonton,Hanna,0,144.0000
287,Jay Van Andel,Jay Van Andel,1,144.0000
288,Florida and Oklahoma,"Coahuila, Mexico",0,145.0000
289,PBS,aired on PBS stations,0,146.0000
290,Lush,Lush Ltd.,0,147.0000
291,The Boatniks,"The Boatniks is a 1970 American comedy film starring Robert Morse, Stefanie Powers, Don Ameche and Phil Silvers.",0,148.0000
292,The Beatles,The Beatles,1,148.0000
293,Keith Bostic,Keith Bostic,1,148.0000
294,No,no,1,148.0000
295,Country Thuggin,Country Thuggin,1,148.0000
296,International Boxing Hall of Fame,International Boxing Hall of Fame,1,148.0000
297,Kimmy Schmidt,"Kimberly Couger ""Kimmy"" Schmidt",0,149.0000
298,1993,1992,0,150.0000
299,The United States presidential election of 2016,United States presidential election of 2016,1,150.0000
300,Dubai International Cricket Stadium,Dubai International Stadium,0,151.0000
301,Theo Walcott,Theo James Walcott,0,152.0000
302,"design, development, manufacture and sale of vehicles","design, development, manufacture",0,153.0000
303,Jillian Bell,Jillian Belk,0,154.0000
304,United States,American,0,155.0000
305,"Baa, Baa, Black Sheep","""Baa, Baa, Black Sheep""",1,155.0000
306,yes,yes,1,155.0000
307,Ais,Apalachees,0,156.0000
308,Dallas Cowboys,Dallas Cowboys,1,156.0000
309,Eric Bana,Eric Banadinović,0,157.0000
310,Saxe-Coburg and Gotha,Ernestine,0,158.0000
311,"income tax, social security contributions, corporate tax","""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""",0,159.0000
312,French Open,French Open,1,159.0000
313,19th century,nineteenth,0,160.0000
314,2027 Fairmount Avenue,2027 Fairmount Avenue,1,160.0000
315,Nevada,Clark County,0,161.0000
316,Samoa,Samoa,1,161.0000
317,Minneapolis,"Golden Valley, Minnesota,",0,162.0000
318,Russian Empire,Russian Empire,1,162.0000
319,Bonnie Claire,Beatty,0,163.0000
320,Thom Andersen,Krzysztof Zanussi,0,164.0000
321,Point of Entry,Point of Entry,1,164.0000
322,Dan Fogelman,David Dobkin,0,165.0000
323,right-hand,right-hand,1,165.0000
324,Mickey Gilley,Mickey Gilley,1,165.0000
325,writer,poet,0,166.0000
326,Blonde Redhead,Blonde Redhead,1,166.0000
327,Mitsubishi Motors,Mitsubishi,0,167.0000
328,Gallery,"arose on the ""Playboy"" magazine pattern in the 1970s.",0,168.0000
329,5,5,1,168.0000
330,Trenton–Mercer Airport,Trenton–Mercer Airport,1,168.0000
331,13 years,21 years and 154 days,0,169.0000
332,glam metal,Glam metal,1,169.0000
333,Kohlberg Kravis Roberts,KKR & Co,0,170.0000
334,J. G. Farrell,Farrell,0,171.0000
335,Blake Shelton,Blake Shelton,1,171.0000
336,"The Astrodome was considered the 'Eighth Wonder of the World' due to its innovative design and status as the world's first multi-purpose, domed sports stadium.",comparable to the seven Wonders of the World,0,172.0000
337,The Crowned Prince of the Philadelphia Mob,The Crowned Prince of the Philadelphia Mob,1,172.0000
338,"Gardnerville, Nevada",Gardnerville,0,173.0000
339,Debbie Harry,Debbie Harry,1,173.0000
340,Oryzomyini,Oryzomyini,1,173.0000
341,people working in film and the performing arts,people working in film and the performing arts,1,173.0000
342,Istanbul,"Istanbul, Turkey",0,174.0000
343,four months in jail,four months in jail,1,174.0000
344,Verve,Teriade,0,175.0000
