step,problem_id,lib,correct,cumulative_regret
0,978,Pytorch,0,1.0000
1,933,Pytorch,1,1.0000
2,859,Sklearn,0,2.0000
3,916,Sklearn,0,3.0000
4,127,Pandas,0,4.0000
5,608,Matplotlib,0,5.0000
6,856,Sklearn,0,6.0000
7,260,Pandas,0,7.0000
8,147,Pandas,1,7.0000
9,810,Scipy,0,8.0000
10,635,Matplotlib,0,9.0000
11,972,Pytorch,1,9.0000
12,593,Matplotlib,0,10.0000
13,994,Pytorch,1,10.0000
14,285,Pandas,0,11.0000
15,554,Matplotlib,0,12.0000
16,467,Numpy,1,12.0000
17,276,Pandas,1,12.0000
18,55,Pandas,0,13.0000
19,61,Pandas,0,14.0000
20,839,Sklearn,0,15.0000
21,425,Numpy,0,16.0000
22,82,Pandas,1,16.0000
23,620,Matplotlib,0,17.0000
24,787,Scipy,0,18.0000
25,2,Pandas,0,19.0000
26,753,Scipy,1,19.0000
27,7,Pandas,0,20.0000
28,903,Sklearn,0,21.0000
29,626,Matplotlib,0,22.0000
30,51,Pandas,0,23.0000
31,557,Matplotlib,0,24.0000
32,310,Numpy,1,24.0000
33,100,Pandas,1,24.0000
34,848,Sklearn,0,25.0000
35,921,Sklearn,0,26.0000
36,45,Pandas,0,27.0000
37,976,Pytorch,1,27.0000
38,136,Pandas,0,28.0000
39,128,Pandas,0,29.0000
40,605,Matplotlib,1,29.0000
41,945,Pytorch,0,30.0000
42,773,Scipy,0,31.0000
43,941,Pytorch,1,31.0000
44,613,Matplotlib,1,31.0000
45,98,Pandas,1,31.0000
46,758,Scipy,1,31.0000
47,595,Matplotlib,0,32.0000
48,470,Numpy,0,33.0000
49,25,Pandas,0,34.0000
50,514,Matplotlib,0,35.0000
51,239,Pandas,0,36.0000
52,980,Pytorch,1,36.0000
53,623,Matplotlib,1,36.0000
54,252,Pandas,0,37.0000
55,662,Matplotlib,0,38.0000
56,171,Pandas,0,39.0000
57,408,Numpy,0,40.0000
58,993,Pytorch,0,41.0000
59,592,Matplotlib,1,41.0000
60,701,Tensorflow,0,42.0000
61,427,Numpy,0,43.0000
62,457,Numpy,1,43.0000
63,454,Numpy,0,44.0000
64,151,Pandas,0,45.0000
65,756,Scipy,0,46.0000
66,250,Pandas,0,47.0000
67,904,Sklearn,0,48.0000
68,324,Numpy,1,48.0000
69,439,Numpy,0,49.0000
70,650,Matplotlib,0,50.0000
71,238,Pandas,0,51.0000
72,498,Numpy,0,52.0000
73,806,Scipy,1,52.0000
74,629,Matplotlib,0,53.0000
75,468,Numpy,0,54.0000
76,343,Numpy,1,54.0000
77,664,Matplotlib,1,54.0000
78,671,Tensorflow,0,55.0000
79,652,Matplotlib,1,55.0000
80,346,Numpy,0,56.0000
81,381,Numpy,1,56.0000
82,493,Numpy,1,56.0000
83,708,Tensorflow,1,56.0000
84,513,Matplotlib,0,57.0000
85,563,Matplotlib,1,57.0000
86,857,Sklearn,0,58.0000
87,781,Scipy,0,59.0000
88,135,Pandas,1,59.0000
89,232,Pandas,1,59.0000
90,931,Sklearn,0,60.0000
91,426,Numpy,0,61.0000
92,660,Matplotlib,1,61.0000
93,995,Pytorch,0,62.0000
94,36,Pandas,1,62.0000
95,545,Matplotlib,1,62.0000
96,116,Pandas,1,62.0000
97,434,Numpy,1,62.0000
98,390,Numpy,0,63.0000
99,751,Scipy,0,64.0000
100,797,Scipy,1,64.0000
101,180,Pandas,1,64.0000
102,152,Pandas,0,65.0000
103,38,Pandas,1,65.0000
104,946,Pytorch,0,66.0000
105,710,Tensorflow,1,66.0000
106,789,Scipy,0,67.0000
107,558,Matplotlib,0,68.0000
108,142,Pandas,0,69.0000
109,166,Pandas,0,70.0000
110,990,Pytorch,0,71.0000
111,83,Pandas,0,72.0000
112,914,Sklearn,0,73.0000
113,230,Pandas,1,73.0000
114,885,Sklearn,0,74.0000
115,413,Numpy,1,74.0000
116,125,Pandas,1,74.0000
117,726,Scipy,0,75.0000
118,865,Sklearn,0,76.0000
119,638,Matplotlib,0,77.0000
120,96,Pandas,0,78.0000
121,764,Scipy,0,79.0000
122,79,Pandas,0,80.0000
123,579,Matplotlib,1,80.0000
124,421,Numpy,0,81.0000
125,179,Pandas,0,82.0000
126,248,Pandas,1,82.0000
127,889,Sklearn,0,83.0000
128,771,Scipy,1,83.0000
129,435,Numpy,0,84.0000
130,860,Sklearn,0,85.0000
131,582,Matplotlib,0,86.0000
132,302,Numpy,1,86.0000
133,987,Pytorch,0,87.0000
134,131,Pandas,0,88.0000
135,199,Pandas,0,89.0000
136,996,Pytorch,0,90.0000
137,898,Sklearn,0,91.0000
138,934,Pytorch,1,91.0000
139,900,Sklearn,0,92.0000
140,150,Pandas,0,93.0000
141,143,Pandas,1,93.0000
142,703,Tensorflow,0,94.0000
143,474,Numpy,0,95.0000
144,371,Numpy,0,96.0000
145,551,Matplotlib,0,97.0000
146,222,Pandas,0,98.0000
147,835,Sklearn,0,99.0000
148,306,Numpy,0,100.0000
149,750,Scipy,0,101.0000
150,963,Pytorch,0,102.0000
151,340,Numpy,1,102.0000
152,767,Scipy,0,103.0000
153,830,Sklearn,0,104.0000
154,896,Sklearn,0,105.0000
155,387,Numpy,1,105.0000
156,66,Pandas,0,106.0000
157,297,Numpy,0,107.0000
158,881,Sklearn,0,108.0000
159,814,Scipy,0,109.0000
160,892,Sklearn,0,110.0000
161,724,Scipy,1,110.0000
162,991,Pytorch,0,111.0000
163,193,Pandas,0,112.0000
164,253,Pandas,0,113.0000
165,236,Pandas,0,114.0000
166,891,Sklearn,1,114.0000
167,674,Tensorflow,0,115.0000
168,746,Scipy,0,116.0000
169,315,Numpy,0,117.0000
170,129,Pandas,0,118.0000
171,21,Pandas,0,119.0000
172,673,Tensorflow,0,120.0000
173,373,Numpy,0,121.0000
174,598,Matplotlib,0,122.0000
175,853,Sklearn,1,122.0000
176,130,Pandas,0,123.0000
177,544,Matplotlib,0,124.0000
178,35,Pandas,0,125.0000
179,867,Sklearn,0,126.0000
180,203,Pandas,0,127.0000
181,86,Pandas,0,128.0000
182,146,Pandas,1,128.0000
183,433,Numpy,1,128.0000
184,224,Pandas,0,129.0000
185,218,Pandas,0,130.0000
186,960,Pytorch,0,131.0000
187,417,Numpy,0,132.0000
188,697,Tensorflow,0,133.0000
189,552,Matplotlib,0,134.0000
190,88,Pandas,0,135.0000
191,624,Matplotlib,0,136.0000
192,445,Numpy,0,137.0000
193,268,Pandas,0,138.0000
194,6,Pandas,0,139.0000
195,630,Matplotlib,1,139.0000
196,805,Scipy,0,140.0000
197,197,Pandas,0,141.0000
198,950,Pytorch,0,142.0000
199,11,Pandas,1,142.0000
200,911,Sklearn,0,143.0000
201,356,Numpy,0,144.0000
202,388,Numpy,0,145.0000
203,281,Pandas,0,146.0000
204,511,Matplotlib,0,147.0000
205,120,Pandas,0,148.0000
206,115,Pandas,0,149.0000
207,29,Pandas,0,150.0000
208,367,Numpy,0,151.0000
209,307,Numpy,0,152.0000
210,206,Pandas,1,152.0000
211,9,Pandas,0,153.0000
212,319,Numpy,0,154.0000
213,185,Pandas,1,154.0000
214,808,Scipy,0,155.0000
215,91,Pandas,1,155.0000
216,836,Sklearn,0,156.0000
217,815,Scipy,0,157.0000
218,479,Numpy,1,157.0000
219,154,Pandas,0,158.0000
220,126,Pandas,0,159.0000
221,909,Sklearn,0,160.0000
222,455,Numpy,0,161.0000
223,363,Numpy,1,161.0000
224,424,Numpy,0,162.0000
225,278,Pandas,0,163.0000
226,567,Matplotlib,0,164.0000
227,43,Pandas,0,165.0000
228,243,Pandas,0,166.0000
229,321,Numpy,1,166.0000
230,883,Sklearn,0,167.0000
231,304,Numpy,0,168.0000
232,717,Scipy,1,168.0000
233,231,Pandas,1,168.0000
234,550,Matplotlib,0,169.0000
235,818,Sklearn,0,170.0000
236,776,Scipy,0,171.0000
237,328,Numpy,0,172.0000
238,350,Numpy,0,173.0000
239,849,Sklearn,1,173.0000
240,201,Pandas,0,174.0000
241,368,Numpy,1,174.0000
242,935,Pytorch,1,174.0000
243,107,Pandas,0,175.0000
244,273,Pandas,1,175.0000
245,331,Numpy,0,176.0000
246,409,Numpy,1,176.0000
247,631,Matplotlib,1,176.0000
248,245,Pandas,0,177.0000
249,783,Scipy,0,178.0000
250,448,Numpy,1,178.0000
251,888,Sklearn,1,178.0000
252,169,Pandas,1,178.0000
253,612,Matplotlib,0,179.0000
254,30,Pandas,1,179.0000
255,542,Matplotlib,0,180.0000
256,646,Matplotlib,0,181.0000
257,813,Scipy,0,182.0000
258,241,Pandas,0,183.0000
259,395,Numpy,1,183.0000
260,119,Pandas,1,183.0000
261,678,Tensorflow,0,184.0000
262,902,Sklearn,0,185.0000
263,360,Numpy,0,186.0000
264,645,Matplotlib,0,187.0000
265,614,Matplotlib,0,188.0000
266,532,Matplotlib,0,189.0000
267,799,Scipy,0,190.0000
268,712,Scipy,0,191.0000
269,527,Matplotlib,0,192.0000
270,657,Matplotlib,0,193.0000
271,581,Matplotlib,0,194.0000
272,429,Numpy,1,194.0000
273,562,Matplotlib,0,195.0000
274,793,Scipy,1,195.0000
275,0,Pandas,0,196.0000
276,677,Tensorflow,0,197.0000
277,156,Pandas,1,197.0000
278,28,Pandas,0,198.0000
279,768,Scipy,0,199.0000
280,762,Scipy,0,200.0000
281,588,Matplotlib,1,200.0000
282,570,Matplotlib,0,201.0000
283,501,Numpy,1,201.0000
284,944,Pytorch,0,202.0000
285,584,Matplotlib,0,203.0000
286,274,Pandas,1,203.0000
287,887,Sklearn,0,204.0000
288,101,Pandas,1,204.0000
289,71,Pandas,0,205.0000
290,464,Numpy,1,205.0000
291,77,Pandas,0,206.0000
292,940,Pytorch,1,206.0000
293,937,Pytorch,0,207.0000
294,512,Matplotlib,0,208.0000
295,352,Numpy,0,209.0000
296,693,Tensorflow,0,210.0000
297,92,Pandas,1,210.0000
298,394,Numpy,0,211.0000
299,259,Pandas,1,211.0000
300,868,Sklearn,0,212.0000
301,798,Scipy,0,213.0000
302,164,Pandas,0,214.0000
303,244,Pandas,0,215.0000
304,829,Sklearn,1,215.0000
305,684,Tensorflow,0,216.0000
306,796,Scipy,0,217.0000
307,444,Numpy,0,218.0000
308,354,Numpy,0,219.0000
309,775,Scipy,0,220.0000
310,330,Numpy,0,221.0000
311,382,Numpy,1,221.0000
312,62,Pandas,0,222.0000
313,878,Sklearn,0,223.0000
314,842,Sklearn,0,224.0000
315,344,Numpy,1,224.0000
316,745,Scipy,0,225.0000
317,336,Numpy,1,225.0000
318,44,Pandas,0,226.0000
319,163,Pandas,1,226.0000
320,890,Sklearn,1,226.0000
321,936,Pytorch,0,227.0000
322,153,Pandas,0,228.0000
323,219,Pandas,1,228.0000
324,213,Pandas,1,228.0000
325,591,Matplotlib,1,228.0000
326,12,Pandas,0,229.0000
327,56,Pandas,0,230.0000
328,133,Pandas,0,231.0000
329,572,Matplotlib,0,232.0000
330,305,Numpy,0,233.0000
331,955,Pytorch,1,233.0000
332,785,Scipy,1,233.0000
333,334,Numpy,1,233.0000
334,288,Pandas,0,234.0000
335,326,Numpy,1,234.0000
336,225,Pandas,0,235.0000
337,707,Tensorflow,0,236.0000
338,576,Matplotlib,1,236.0000
339,380,Numpy,0,237.0000
340,998,Pytorch,0,238.0000
341,803,Scipy,0,239.0000
342,420,Numpy,0,240.0000
343,299,Numpy,0,241.0000
344,447,Numpy,0,242.0000
345,875,Sklearn,1,242.0000
346,788,Scipy,0,243.0000
347,872,Sklearn,0,244.0000
348,402,Numpy,0,245.0000
349,536,Matplotlib,0,246.0000
350,761,Scipy,0,247.0000
