step,problem_id,lib,n_icl,correct,cumulative_regret,mem_size
0,978,Pytorch,0,0,1.0000,0
1,933,Pytorch,0,1,1.0000,1
2,859,Sklearn,1,0,2.0000,1
3,916,Sklearn,1,0,3.0000,1
4,127,Pandas,1,0,4.0000,1
5,608,Matplotlib,1,0,5.0000,1
6,856,Sklearn,1,0,6.0000,1
7,260,Pandas,1,0,7.0000,1
8,147,Pandas,1,1,7.0000,2
9,810,Scipy,2,0,8.0000,2
10,635,Matplotlib,2,0,9.0000,2
11,972,Pytorch,2,1,9.0000,3
12,593,Matplotlib,3,0,10.0000,3
13,994,Pytorch,3,1,10.0000,4
14,285,Pandas,3,0,11.0000,4
15,554,Matplotlib,3,0,12.0000,4
16,467,Numpy,3,1,12.0000,5
17,276,Pandas,3,1,12.0000,6
18,55,Pandas,3,0,13.0000,6
19,61,Pandas,3,0,14.0000,6
20,839,Sklearn,3,1,14.0000,7
21,425,Numpy,3,0,15.0000,7
22,82,Pandas,3,1,15.0000,8
23,620,Matplotlib,3,0,16.0000,8
24,787,Scipy,3,0,17.0000,8
25,2,Pandas,3,0,18.0000,8
26,753,Scipy,3,1,18.0000,9
27,7,Pandas,3,0,19.0000,9
28,903,Sklearn,3,0,20.0000,9
29,626,Matplotlib,3,0,21.0000,9
30,51,Pandas,3,0,22.0000,9
31,557,Matplotlib,3,0,23.0000,9
32,310,Numpy,3,1,23.0000,10
33,100,Pandas,3,0,24.0000,10
34,848,Sklearn,3,0,25.0000,10
35,921,Sklearn,3,0,26.0000,10
36,45,Pandas,3,0,27.0000,10
37,976,Pytorch,3,1,27.0000,11
38,136,Pandas,3,0,28.0000,11
39,128,Pandas,3,0,29.0000,11
40,605,Matplotlib,3,1,29.0000,12
41,945,Pytorch,3,0,30.0000,12
42,773,Scipy,3,0,31.0000,12
43,941,Pytorch,3,0,32.0000,12
44,613,Matplotlib,3,1,32.0000,13
45,98,Pandas,3,1,32.0000,14
